layer	checkpoint	maximum_f32_vs_rust_absolute_error	absolute_budget	maximum_f32_vs_rust_relative_error
0	input_rmsnorm	2.08616256713867188e-7	4.99999998737621354e-7	1.77379183696757536e-6
0	attention_output	1.25169754028320312e-6	1.87754631042480469e-6	3.62265948206186295e-3
0	residual_output	1.25169754028320312e-6	1.87754631042480469e-6	4.55868095159530640e-2
0	post_attention_rmsnorm	3.99351119995117188e-6	4.25509279011748731e-6	4.55874353647232056e-2
1	input_rmsnorm	2.90572643280029297e-7	6.22204606770537794e-6	1.00801698863506317e-2
1	attention_output	5.75557351112365723e-7	1.44727528095245361e-6	1.87699012458324432e-2
1	residual_output	1.90734863281250000e-6	3.35462391376495361e-6	7.97213148325681686e-3
1	post_attention_rmsnorm	2.62260437011718750e-6	6.22204606770537794e-6	7.97294080257415771e-3
2	input_rmsnorm	5.36441802978515625e-7	1.05335644911974669e-3	3.65546107292175293e-1
2	attention_output	8.64267349243164062e-7	2.47359275817871094e-6	9.11328569054603577e-3
2	residual_output	3.50952148437500000e-4	3.53425741195678711e-4	2.73702875711023808e-3
2	post_attention_rmsnorm	4.41074371337890625e-6	1.05335644911974669e-3	2.73389182984828949e-3
3	input_rmsnorm	1.54972076416015625e-6	2.38087098114192486e-3	1.10416662693023682e0
3	attention_output	7.74860382080078125e-7	5.42402267456054688e-6	5.54375834763050079e-2
3	residual_output	7.93457031250000000e-4	7.98881053924560547e-4	8.88156704604625702e-3
3	post_attention_rmsnorm	2.13623046875000000e-4	2.38087098114192486e-3	8.88213422149419785e-3
4	input_rmsnorm	9.53674316406250000e-7	6.95850793272256851e-3	2.66290623694658279e-2
4	attention_output	4.47034835815429688e-7	3.30805778503417969e-6	7.00969994068145752e-2
4	residual_output	2.31933593750000000e-3	2.32264399528503418e-3	5.94900846481323242e-2
4	post_attention_rmsnorm	8.39233398437500000e-5	6.95850793272256851e-3	5.94904869794845581e-2
5	input_rmsnorm	9.23871994018554688e-7	6.95850793272256851e-3	1.60011574625968933e-2
5	attention_output	1.43051147460937500e-6	4.20212745666503906e-6	6.12716656178236008e-3
5	residual_output	2.31933593750000000e-3	2.32353806495666504e-3	1.98309849947690964e-2
5	post_attention_rmsnorm	9.91821289062500000e-5	6.95850793272256851e-3	1.98307204991579056e-2
6	input_rmsnorm	1.19209289550781250e-6	6.95850793272256851e-3	6.30669742822647095e-2
6	attention_output	1.99675559997558594e-6	5.57303428649902344e-6	8.10295622795820236e-3
6	residual_output	2.31933593750000000e-3	2.32490897178649902e-3	8.25908686965703964e-3
6	post_attention_rmsnorm	1.10626220703125000e-4	6.95850793272256851e-3	8.25938489288091660e-3
7	input_rmsnorm	1.13248825073242188e-6	6.95850793272256851e-3	1.19392909109592438e-2
7	attention_output	3.03983688354492188e-6	6.43730163574218750e-6	7.44919106364250183e-2
7	residual_output	2.31933593750000000e-3	2.32577323913574219e-3	1.41369048506021500e-2
7	post_attention_rmsnorm	9.53674316406250000e-5	6.95850793272256851e-3	1.41376145184040070e-2
8	input_rmsnorm	1.19209289550781250e-6	6.95850793272256851e-3	6.01059347391128540e-2
8	attention_output	6.85453414916992188e-6	1.04308128356933594e-5	4.81319949030876160e-2
8	residual_output	2.31933593750000000e-3	2.32976675033569336e-3	5.50847463309764862e-2
8	post_attention_rmsnorm	9.53674316406250000e-5	6.95850793272256851e-3	5.50844818353652954e-2
9	input_rmsnorm	1.37090682983398438e-6	6.95850793272256851e-3	2.04234346747398376e-2
9	attention_output	1.96695327758789062e-6	6.07967376708984375e-6	2.54942774772644043e-2
9	residual_output	2.31933593750000000e-3	2.32541561126708984e-3	6.44549308344721794e-3
9	post_attention_rmsnorm	1.02996826171875000e-4	6.95850793272256851e-3	6.44599134102463722e-3
10	input_rmsnorm	1.25169754028320312e-6	6.95850793272256851e-3	1.91342271864414215e-2
10	attention_output	2.17556953430175781e-6	5.93066215515136719e-6	2.21205502748489380e-2
10	residual_output	2.31933593750000000e-3	2.32526659965515137e-3	2.75510191917419434e-1
10	post_attention_rmsnorm	1.02996826171875000e-4	6.95850793272256851e-3	2.75508910417556763e-1
11	input_rmsnorm	1.31130218505859375e-6	6.95850793272256851e-3	6.13679178059101105e-3
11	attention_output	1.17160379886627197e-6	5.10551035404205322e-6	2.08066813647747040e-2
11	residual_output	2.31933593750000000e-3	2.32444144785404205e-3	1.13906422629952431e-2
11	post_attention_rmsnorm	1.02996826171875000e-4	6.95850793272256851e-3	1.13911628723144531e-2
12	input_rmsnorm	1.78813934326171875e-6	6.95850793272256851e-3	3.32490801811218262e-2
12	attention_output	1.50501728057861328e-6	6.86943531036376953e-6	2.88532450795173645e-2
12	residual_output	2.31933593750000000e-3	2.32620537281036377e-3	4.22557331621646881e-2
12	post_attention_rmsnorm	1.10626220703125000e-4	6.95850793272256851e-3	4.22548763453960419e-2
13	input_rmsnorm	1.60932540893554688e-6	6.95850793272256851e-3	7.52582401037216187e-3
13	attention_output	1.72853469848632812e-6	6.55651092529296875e-6	3.63825559616088867e-2
13	residual_output	2.31933593750000000e-3	2.32589244842529297e-3	3.26784607023000717e-3
