layer	input_max_abs	input_budget	router_max_abs	router_budget	routing_max_abs	routing_budget	unique_experts	expert_occurrences	moe_max_abs	moe_budget	block_max_abs	block_budget	transformers_f32_ids	transformers_bf16_ids	rust_ids
0	0.00000000000000000e0	0.00000000000000000e0	1.14440917968750000e-5	2.62856483459472656e-5	5.96046447753906250e-7	5.82204575039213523e-6	27	32	7.15255737304687500e-7	1.26957893371582031e-5	1.90734863281250000e-6	1.41617992994724773e-5	62,21,75,87,36,126,34,91,114,44,26,65,59,104,83,69,87,105,110,91,25,54,41,21,98,65,99,114,100,72,40,96	62,21,75,87,36,126,34,91,114,44,26,65,59,104,83,69,87,105,110,91,25,54,41,21,98,65,99,114,100,72,40,96	62,21,75,87,36,126,34,91,114,44,26,65,59,104,83,69,87,105,110,91,25,54,41,21,98,65,99,114,100,72,40,96
1	1.90734863281250000e-6	6.22204606770537794e-6	1.23977661132812500e-5	2.21729278564453125e-5	5.06639480590820312e-7	6.29888290859526023e-6	24	32	3.50952148437500000e-4	3.58819961547851562e-4	3.50952148437500000e-4	3.73899820260703564e-4	68,114,55,90,0,9,30,127,50,127,30,119,23,62,58,80,8,6,4,30,38,23,22,61,127,70,119,18,94,108,61,38	68,114,55,90,0,9,30,127,50,127,30,119,23,62,58,80,8,6,4,30,38,23,22,61,127,70,119,18,94,108,61,38	68,114,55,90,0,9,30,127,50,127,30,119,23,62,58,80,8,6,4,30,38,23,22,61,127,70,119,18,94,108,61,38
2	3.50952148437500000e-4	1.05335644911974669e-3	1.71661376953125000e-5	2.75373458862304688e-5	8.04662704467773438e-7	8.68306869961088523e-6	22	32	4.27246093750000000e-4	4.40478324890136719e-4	7.93457031250000000e-4	8.86792491655796766e-4	92,77,118,100,97,115,18,59,47,127,93,88,40,113,84,70,4,127,64,49,93,59,47,91,84,93,38,40,99,47,88,127	92,77,118,100,115,97,18,59,47,127,93,88,40,113,84,70,4,127,64,49,93,59,47,91,84,93,38,99,40,47,88,127	92,77,118,100,97,115,18,59,47,127,93,88,40,113,84,70,4,127,64,49,93,59,47,91,84,93,38,40,99,47,88,127
3	7.93457031250000000e-4	2.38087098114192486e-3	2.62260437011718750e-5	6.55174255371093750e-4	8.94069671630859375e-7	1.32130217025405727e-5	23	32	1.49536132812500000e-3	2.13623046875000000e-3	2.31933593750000000e-3	3.07446485385298729e-3	82,107,73,95,127,69,41,80,2,82,16,4,47,31,112,124,2,101,16,73,57,71,112,72,2,31,6,16,124,9,38,60	82,107,73,69,41,95,104,80,2,82,16,4,47,31,112,124,2,101,16,73,57,71,112,72,2,31,6,16,124,9,38,60	82,107,73,95,127,69,41,80,2,82,16,4,47,31,112,124,2,101,16,73,57,71,112,72,2,31,6,16,124,9,38,60
4	2.31933593750000000e-3	6.95850793272256851e-3	3.24249267578125000e-5	2.66075134277343750e-4	1.02818012237548828e-6	1.63124641403555870e-5	24	32	1.13248825073242188e-6	2.52902507781982422e-4	2.31933593750000000e-3	2.71702185273170471e-3	16,108,119,20,69,73,29,71,48,52,104,106,56,118,81,102,57,32,48,60,36,69,71,73,85,115,106,57,48,32,99,11	16,108,20,119,69,29,73,2,48,52,106,104,56,118,81,102,57,32,48,60,36,69,71,73,85,115,106,57,48,32,99,11	16,108,119,20,69,73,29,71,48,52,104,106,56,118,81,102,57,32,48,60,36,69,71,73,85,115,106,57,48,32,99,11
5	2.31933593750000000e-3	6.95850793272256851e-3	2.86102294921875000e-5	3.11851501464843750e-4	5.96046447753906250e-7	1.44051145980483852e-5	24	32	8.64267349243164062e-7	2.98410654067993164e-4	2.31933593750000000e-3	2.76252976618707180e-3	8,38,26,98,18,9,85,74,25,13,17,22,68,51,123,109,74,109,44,48,14,13,39,43,13,66,61,25,8,17,74,64	8,38,98,26,106,9,18,74,25,13,17,68,22,51,123,66,74,109,44,48,14,13,39,43,13,66,61,25,8,17,74,64	8,38,26,98,18,9,85,74,25,13,17,22,68,51,123,109,74,109,44,48,14,13,39,43,13,66,61,25,8,17,74,64
6	2.31933593750000000e-3	6.95850793272256851e-3	2.43186950683593750e-5	3.46183776855468750e-4	6.10947608947753906e-7	1.22593473861343227e-5	22	32	7.45058059692382812e-7	3.32623720169067383e-4	2.31933593750000000e-3	2.79673654586076736e-3	103,32,15,54,117,112,96,121,8,27,71,56,44,35,38,106,38,40,80,27,44,86,88,69,8,38,35,27,80,40,86,105	103,32,96,54,111,15,121,117,8,27,71,56,44,35,38,106,38,40,80,27,44,86,69,88,8,38,35,27,80,40,86,105	103,32,15,54,117,112,96,121,8,27,71,56,44,35,38,106,38,40,80,27,44,86,88,69,8,38,35,27,80,40,86,105
7	2.31933593750000000e-3	6.95850793272256851e-3	2.24113464355468750e-5	3.00407409667968750e-4	1.07288360595703125e-6	1.13056730697280727e-5	25	32	2.71201133728027344e-6	2.88814306259155273e-4	2.31933593750000000e-3	2.75293085724115372e-3	115,28,76,104,38,45,126,114,31,59,9,62,110,24,109,18,9,71,88,0,113,7,24,82,71,9,59,112,24,0,85,49	115,28,104,76,38,45,126,68,31,59,9,62,110,24,109,45,9,71,88,0,113,7,24,82,71,9,59,112,24,0,85,49	115,28,76,104,38,45,126,114,31,59,9,62,110,24,109,18,9,71,88,0,113,7,24,82,71,9,59,112,24,0,85,49
8	2.31933593750000000e-3	6.95850793272256851e-3	2.57492065429687500e-5	3.00407409667968750e-4	1.11758708953857422e-6	1.29746031234390102e-5	22	32	3.33786010742187500e-6	2.89440155029296875e-4	2.31933593750000000e-3	2.75355833582580090e-3	96,38,88,126,67,22,120,69,38,116,57,90,29,109,85,69,29,38,81,41,124,31,119,86,38,41,81,119,116,121,72,29	96,38,88,126,67,22,120,69,38,116,57,90,29,109,85,69,29,38,81,41,124,31,119,86,38,41,81,119,116,121,72,29	96,38,88,126,67,22,120,69,38,116,57,90,29,109,85,69,29,38,81,41,124,31,119,86,38,41,81,119,116,121,72,29
9	2.31933593750000000e-3	6.95850793272256851e-3	2.28881835937500000e-5	3.23295622365549207e-4	9.23871994018554688e-7	1.15440916488296352e-5	24	32	7.45058059692382812e-7	3.09735565679147840e-4	2.31933593750000000e-3	2.77385651133954525e-3	69,85,12,39,46,42,89,96,26,87,64,65,69,19,96,0,26,27,54,0,61,49,32,79,0,27,54,49,51,110,10,56	69,85,12,39,96,42,89,46,26,87,64,65,19,69,96,0,26,27,54,0,61,49,32,79,0,27,54,49,51,110,10,56	69,85,12,39,46,42,89,96,26,87,64,65,69,19,96,0,26,27,54,0,61,49,32,79,0,27,54,49,51,110,10,56
