layer	token	position	expert	checkpoint	maximum_f32_vs_rust_absolute_error	absolute_budget	maximum_f32_vs_rust_relative_error	maximum_bf16_vs_rust_absolute_error	maximum_bf16_vs_rust_relative_error
0	0	0	62	expert_input	2.20537185668945312e-6	7.11611619408358820e-6	3.22400927543640137e-2	7.77429342269897461e-3	7.08498597145080566e-1
0	0	0	62	gate_projection	1.13248825073242188e-6	7.00679038345697336e-6	1.93801126442849636e-3	4.63306903839111328e-3	4.42774581909179688e0
0	0	0	62	up_projection	1.78813934326171875e-6	7.72204566601430997e-6	4.99344617128372192e-3	3.64375114440917969e-3	3.13103270530700684e0
0	0	0	62	activated_gate	7.74860382080078125e-7	3.09280198962369468e-6	1.93781568668782711e-3	4.30452823638916016e-3	4.42398118972778320e0
0	0	0	62	activated_product	1.90734863281250000e-6	6.72204578222590499e-6	4.99326176941394806e-3	4.59289550781250000e-3	4.48499345779418945e0
0	0	0	62	down_projection	4.32133674621582031e-7	2.29640090765315108e-6	6.19923812337219715e-4	1.19113922119140625e-3	1.38417840003967285e0
0	0	0	62	routing_weight	2.68220901489257812e-7	5.82204575039213523e-6	9.06850914361712057e-7	8.49634408950805664e-4	2.88087967783212662e-3
0	0	0	62	weighted_expert_output	2.08616256713867188e-7	1.62584876761684427e-6	6.20812235865741968e-4	1.00921094417572021e-3	1.39606845378875732e0
0	0	7	91	expert_input	2.20537185668945312e-6	7.11611619408358820e-6	3.22400927543640137e-2	7.77429342269897461e-3	7.08498597145080566e-1
0	0	7	91	gate_projection	1.66893005371093750e-6	7.00679038345697336e-6	6.84521917719393969e-4	4.14550304412841797e-3	2.19740843772888184e0
0	0	7	91	up_projection	1.90734863281250000e-6	7.72204566601430997e-6	9.36720811296254396e-4	2.86090373992919922e-3	1.15895962715148926e0
0	0	7	91	activated_gate	8.64267349243164062e-7	3.09280198962369468e-6	6.84274302329868078e-4	1.93028151988983154e-3	2.19721412658691406e0
0	0	7	91	activated_product	2.90572643280029297e-7	6.72204578222590499e-6	9.34752926696091890e-4	1.35152041912078857e-3	2.19874024391174316e0
0	0	7	91	down_projection	2.16066837310791016e-7	2.29640090765315108e-6	1.33207277394831181e-3	4.38414514064788818e-4	2.60560054779052734e1
0	0	7	91	routing_weight	3.65078449249267578e-7	5.82204575039213523e-6	5.82187203690409660e-6	2.08452343940734863e-4	3.33523750305175781e-3
0	0	7	91	weighted_expert_output	4.98257577419281006e-8	1.62584876761684427e-6	1.32630288135260344e-3	4.33078967034816742e-5	2.61395721435546875e1
0	0	NA	NA	aggregated_moe_output	3.72529029846191406e-7	2.11758697332697921e-6	5.00632973853498697e-4	1.32742524147033691e-3	1.33484191894531250e1
0	0	NA	NA	moe_residual_addition	8.34465026855468750e-7	3.50339496435481124e-6	9.02065716218203306e-4	2.50917673110961914e-3	1.72386932373046875e0
0	0	NA	NA	final_block_output	8.34465026855468750e-7	3.50339496435481124e-6	9.02065716218203306e-4	2.50917673110961914e-3	1.72386932373046875e0
1	0	0	68	expert_input	2.62260437011718750e-6	8.36781327961944044e-6	7.84979015588760376e-3	1.90060138702392578e-2	4.67811203002929688e0
