layer	token	position	expert	role	format	max_reconstruction_error	mean_absolute_error	rmse	cosine_similarity	saturation_count	serialization_sha256
0	0	0	62	gate	int8_per_tensor	0.0006689801812171936	0.00033449602779001	0.0003861543082166463	0.9997910261154175	1	7ab8c70c53621a24ae26ef57cb153076ca4725a6885a04963cf6fc9eea56979f
0	0	0	62	gate	int8_per_output_channel	0.0006680227816104889	0.0001666256139287725	0.00019693016656674445	0.9999452233314514	786	1cd57da19e8b4922f2945f38ec226d195c3ad16fb3ee8c843e44628179c0d30d
0	0	0	62	gate	int8_per_input_group_128	0.0006657398771494627	0.00011817936319857836	0.0001404381764587015	0.999968409538269	12509	0955734d6fa72a13eee554b31817b849d9b56c5587566727be74e69531738adb
0	0	0	62	up	int8_per_tensor	0.0005651712417602539	0.00028243809356354177	0.0003261709935031831	0.9998836517333984	2	6276e1c296dc96ab92164fa36de4835430253d273d699c8ab1106cc66f4aee12
0	0	0	62	up	int8_per_output_channel	0.0005642138421535492	0.00015107607760000974	0.0001763318432494998	0.9999560117721558	794	e7cb4c099cdb5bea8aa6a82b2b6c06d91a0b402ad144a72d16c4b96415573def
0	0	0	62	up	int8_per_input_group_128	0.0005637351423501968	0.0001134535123128444	0.00013358634896576405	0.9999718070030212	12513	4d794e947d17770d1533469ba7d896947f6fb958e73776324257bb183d9d1f61
0	0	0	62	down	int8_per_tensor	0.0013360455632209778	0.0006696633063256741	0.0007730553625151515	0.9993612170219421	1	665c56f79ed7ea0c43044673f8b17c8fd128b4d30fa9121f99d8b9cd97e2ff01
0	0	0	62	down	int8_per_output_channel	0.0013360455632209778	0.00015243509551510215	0.00017954676877707243	0.9999596476554871	2112	33a36d4fc8465bf156bc10f51b2b6515b2e7bf1bf80c0eb581d75d9734900749
0	0	0	62	down	int8_per_input_group_128	0.0013341158628463745	0.00012527430953923613	0.0001483069936512038	0.9999701380729675	12492	df478160e8ea222bbc0f139d319deaf6603c1b8c735562e4d843f40be88d09f6
0	0	7	91	gate	int8_per_tensor	0.0010073184967041016	0.0005038254894316196	0.0005817160126753151	0.9995535612106323	1	ce81284fc180a3462f2d9ab14d593ef5d0e1a26fa53f0fe01e8272a4a1459fde
0	0	7	91	gate	int8_per_output_channel	0.0010065995156764984	0.0001835916336858645	0.00022237344819586724	0.9999302625656128	789	be02c81096ace07d29b8523b8acc8826d50a3bd6cb3c7e9ebd5a861b871b1e9b
0	0	7	91	gate	int8_per_input_group_128	0.0009813681244850159	0.00012210092972964048	0.0001477263867855072	0.9999645352363586	12464	a0ffb4bc8903f35b4a0acfedfb7318687d0df1bd1461d08da8eca5445226db0f
0	0	7	91	up	int8_per_tensor	0.0008419975638389587	0.00042071507778018713	0.00048601924208924174	0.9996806383132935	1	ebd720a9d2c09b8a8d84f2caa9e38bc47ca72bf82feb743a971bda0ae40809b8
0	0	7	91	up	int8_per_output_channel	0.0008405549451708794	0.0001565096026752144	0.00018652391736395657	0.9999530911445618	795	60fa4deefc81bfb272a42352d8a6446eca70bccadd77b98263fe6bbef6515d01
0	0	7	91	up	int8_per_input_group_128	0.0008352687582373619	0.0001136204446083866	0.0001351551036350429	0.9999691843986511	12521	bdca020c906bf17ce34b2c46d1c77aba0525f6e48f3a28cd9952ea81612cc351
0	0	7	91	down	int8_per_tensor	0.0023837387561798096	0.0011928314343094826	0.0013771610101684928	0.9981095790863037	1	d05bc42fb44dae42b2797b7b78a356f32c9abdc9a8607df0302ccfc643c00a45
0	0	7	91	down	int8_per_output_channel	0.0023837387561798096	0.00015632684517186135	0.00018658039334695786	0.9999570250511169	2142	c8e62b85df4992038af6dec62cb15443e489368cadd2d43435810cf8dcdb91a8
0	0	7	91	down	int8_per_input_group_128	0.0023606643080711365	0.0001275981921935454	0.0001524285034975037	0.9999691247940063	12505	78cbf7bc21ef593b6b9013370692e8cebd94bdc2c4b591092e813677a7d92e8d
1	0	0	68	gate	int8_per_tensor	0.001712889177724719	0.000857238715980202	0.000989635125733912	0.9990099668502808	1	60cbb27d2b119f00c907b20130401b5e6e8d2eb91ed9cfed54a0d9e140b63f4a
1	0	0	68	gate	int8_per_output_channel	0.0017109066247940063	0.00017761024355422705	0.00021528758225031197	0.9999433755874634	797	cccb59b00087b9558c475701c377121713367c35515dbb6d83a791243ba6781d
1	0	0	68	gate	int8_per_input_group_128	0.0017070621252059937	0.00012752407928928733	0.00015457560948561877	0.9999677538871765	12505	b188d2b8826f03c3b1084b1cdfeefc9064c448c70cba88c648c70b6aa7aa5cb8
1	0	0	68	up	int8_per_tensor	0.0019376259297132492	0.0009687510319054127	0.001118661486543715	0.9987321496009827	1	a46070bfa149d1d7d464c2a582a3fd98fe890fe5ad745cfc5b0ef8d630f1a86d
1	0	0	68	up	int8_per_output_channel	0.0019300580024719238	0.00018558600277174264	0.00022405997151508927	0.999944269657135	784	3408f73f0cdfda92aca51718244b547c65ceaeaffd8098a80a6c043f20ede336
1	0	0	68	up	int8_per_input_group_128	0.0019242893904447556	0.00013156906061340123	0.00015904883912298828	0.9999674558639526	12503	a4756fea0032fa8218368e3f58b9eb4ce8d669e25251f6c7517a1d3974442356
1	0	0	68	down	int8_per_tensor	0.0078125	0.0039012168999761343	0.004506715573370457	0.9838517904281616	1	d16cf7fd80bdbfe0b8a1ece6945921a4d45486973145d4a7aadced80b9d12322
1	0	0	68	down	int8_per_output_channel	0.0078125	0.00018149973766412586	0.00024235609453171492	0.9999445080757141	2088	fdd3b74cc1b5e566317174731f33b416003542070362b7a4b786bcce2d1a0d76
1	0	0	68	down	int8_per_input_group_128	0.0078125	0.00014436991477850825	0.00018487234774511307	0.9999639987945557	12504	6e466465da383d6c596fcd4a35898e475067b8cfa84fbb8c621b4a5d7ea4dbec
1	0	7	127	gate	int8_per_tensor	0.0009534955024719238	0.0004763046745210886	0.0005500135594047606	0.9996819496154785	1	be27990e1281cf0ec56dc8cf17d7cc62412ac4375604f4f09047743df90f348d
1	0	7	127	gate	int8_per_output_channel	0.0009496491402387619	0.00016025512013584375	0.00018868217011913657	0.9999555945396423	802	68e816a9c69ad4ec40ee9b08ac0fbf4eb369fa33c3787dfa8ab563cf2d14edd8
1	0	7	127	gate	int8_per_input_group_128	0.0009496491402387619	0.00012116894504288211	0.00014294766879174858	0.9999704360961914	12528	2daa40a1c8ee95b07dfd1501fec75faf72f85c855b477198f2b6a72650589340
1	0	7	127	up	int8_per_tensor	0.0008496865630149841	0.00042425046558491886	0.0004901784704998136	0.9997380375862122	1	ce22eb33c2d25c5938fbab80f55abba5f325269fcc0b1f0e146449d69d68062e
1	0	7	127	up	int8_per_output_channel	0.0008488452294841409	0.00015629215340595692	0.0001834675931604579	0.9999544024467468	793	93c1672dcbb20b8012940dc8011b7915d69045f7827cd481e19392d33c8613d7
1	0	7	127	up	int8_per_input_group_128	0.0008415160700678825	0.00011762903886847198	0.00013839533494319767	0.9999706149101257	12502	7ac6e82fafd53b1a28cbee04c009674d5c5f8cb59d92848b71f90f1760dfaab4
1	0	7	127	down	int8_per_tensor	0.00116729736328125	0.0005843097460456192	0.0006747447769157588	0.9995627403259277	1	53e72f9895f8104254792c580d52a97d42a4de3140fdc96935ec49bd31dc43e4
1	0	7	127	down	int8_per_output_channel	0.0011668764054775238	0.00015775777865201235	0.00018541127792559564	0.9999593496322632	2112	072cdb3209be2534a822fd4181bcb3724d14dddbebb7289f676381f59db93df9
1	0	7	127	down	int8_per_input_group_128	0.0011649541556835175	0.0001294187386520207	0.00015264023386407644	0.9999696016311646	12517	bf6117b2b78a95b8ddff5c30dccb0de2493521f4b136be7c249f6f165236baa4
24	1	0	85	gate	int8_per_tensor	0.0007535666227340698	0.0003765959700103849	0.00043499228195287287	0.999794602394104	1	a2ca0771b73fe5dcecd1371762592a8484fb10e5fbf2e736905ae6fe02b58a65
24	1	0	85	gate	int8_per_output_channel	0.0007516443729400635	0.0001697195548331365	0.00019751577929127961	0.9999545216560364	798	9a16a5c5cebce5f03da2531094d93ac486f4d0c7f26b36fb654ebc3ea3fdd5d7
24	1	0	85	gate	int8_per_input_group_128	0.0007420331239700317	0.00012916197010781616	0.00015154934953898191	0.9999699592590332	12526	0795c9ce2bb71c589246db8d789f3691b1a09e8a951e5eba093c445f079f653c
24	1	0	85	up	int8_per_tensor	0.0006920546293258667	0.0003462055465206504	0.0003997312451247126	0.9998454451560974	1	f36f9e9c7a9fafb172c9741115c6c1af371e6d847136676832f56ba6b4773d2f
24	1	0	85	up	int8_per_output_channel	0.0006910909432917833	0.00016646698350086808	0.00019344115571584553	0.9999539256095886	791	4269a6015c482730309b2b43b445235339a6d52526a69af126693bd5091a10f3
24	1	0	85	up	int8_per_input_group_128	0.0006834007799625397	0.00012707496352959424	0.00014907166769262403	0.9999701976776123	12542	d16840c7ca4403bcfef3d3e0fa043920daaf3ff322f8e16ac8f335a992a58a77
24	1	0	85	down	int8_per_tensor	0.0009784847497940063	0.0004907174734398723	0.000565743597690016	0.9996660947799683	1	7e67f6ad23c3e13998194ebecb375145de4deb453d167f3ae9d2f55a04d38fab
