record	step	checkpoint	maximum_f32_vs_rust_absolute_error	absolute_budget	maximum_f32_vs_rust_relative_error	maximum_bf16_vs_rust_absolute_error
checkpoint	0	expert_outputs	6.59942626953125000e-4	1.98082788847386837e-3	1.08233176171779633e-1	6.15863800048828125e-1
checkpoint	0	routing_weights	8.86619091033935547e-7	2.75985735243011732e-6	8.44658097776118666e-6	2.90098786354064941e-3
checkpoint	0	moe_output	4.42504882812500000e-4	1.32851465605199337e-3	5.25827825069427490e-1	4.24140930175781250e-1
checkpoint	0	block_output	5.18798828125000000e-4	1.55739649198949337e-3	9.90155339241027832e-3	6.87896728515625000e-1
checkpoint	0	final_norm	1.98364257812500000e-4	1.55689648818224669e-3	9.90398321300745010e-3	3.90060424804687500e-1
checkpoint	1	expert_outputs	1.80244445800781250e-4	5.41733345016837120e-4	1.40147795900702477e-2	5.66293334960937500e0
checkpoint	1	routing_weights	7.74860382080078125e-7	2.42458099819486961e-6	4.45296882389811799e-6	1.32665932178497314e-2
checkpoint	1	moe_output	8.77380371093750000e-5	2.64214089838787913e-4	1.19310978334397078e-3	1.55486679077148438e0
checkpoint	1	block_output	1.14440917968750000e-4	3.44322761520743370e-4	1.71793196350336075e-2	1.93770599365234375e0
checkpoint	1	final_norm	6.10351562500000000e-5	3.43822757713496685e-4	1.71802248805761337e-2	2.16391754150390625e0
checkpoint	2	expert_outputs	6.86645507812500000e-5	2.06993645406328142e-4	1.42300175502896309e-2	1.36922836303710938e0
checkpoint	2	routing_weights	5.36441802978515625e-7	1.70932537457701983e-6	3.41759550792630762e-6	6.66995346546173096e-3
checkpoint	2	moe_output	2.19345092773437500e-5	6.68035281705670059e-5	8.69207531213760376e-2	1.11873054504394531e0
checkpoint	2	block_output	1.90734863281250000e-4	5.73204597458243370e-4	9.08874673768877983e-4	1.72827148437500000e0
checkpoint	2	final_norm	7.62939453125000000e-5	5.72704593650996685e-4	9.09671420231461525e-4	1.03843688964843750e0
checkpoint	3	expert_outputs	1.22547149658203125e-4	3.68641456589102745e-4	6.50359131395816803e-3	1.64572601318359375e1
checkpoint	3	routing_weights	5.81145286560058594e-7	1.84343593900848646e-6	3.88475746149197221e-6	5.30065596103668213e-3
checkpoint	3	moe_output	8.77380371093750000e-5	2.64214089838787913e-4	6.17780082393437624e-4	1.82115745544433594e0
checkpoint	3	block_output	1.67846679687500000e-4	5.04540046676993370e-4	8.06360039860010147e-3	3.83792877197265625e0
checkpoint	3	final_norm	4.00543212890625000e-5	5.04040042869746685e-4	8.06260760873556137e-3	1.09972381591796875e0
checkpoint	4	expert_outputs	8.39233398437500000e-5	2.52770027145743370e-4	6.52360916137695312e-3	5.17301559448242188e1
checkpoint	4	routing_weights	3.94880771636962891e-7	1.28464228055236163e-6	4.15092608818667941e-6	2.38506495952606201e-3
checkpoint	4	moe_output	2.84910202026367188e-5	8.64730609464459121e-5	4.26928047090768814e-4	3.97908830642700195e0
checkpoint	4	block_output	1.29699707031250000e-4	3.90099128708243370e-4	4.50650136917829514e-3	3.48394012451171875e0
checkpoint	4	final_norm	2.28881835937500000e-5	3.89599124900996685e-4	4.50605666264891624e-3	2.28286743164062500e0
checkpoint	5	expert_outputs	9.91821289062500000e-5	2.98546394333243370e-4	6.92792609333992004e-2	1.84333839416503906e1
checkpoint	5	routing_weights	4.91738319396972656e-7	1.57521503751922864e-6	4.45241403213003650e-6	5.75291365385055542e-3
checkpoint	5	moe_output	4.57763671875000000e-5	1.38329094625078142e-4	1.05229171458631754e-3	5.93338012695312500e-1
checkpoint	5	block_output	6.10351562500000000e-5	1.84105476364493370e-4	1.78895087447017431e-3	1.10072326660156250e0
checkpoint	5	final_norm	5.72204589843750000e-5	1.83605472557246685e-4	1.78891653195023537e-3	7.99522399902343750e-1
step	input_token	position	selected_token	f32_argmax	bf16_argmax	f32_argmax_logit	f32_second_logit	f32_margin	f32_required_margin	f32_classification	bf16_margin	bf16_required_margin	bf16_classification	top20_rank_agreement	cache_length	dense_bytes_read	expert_bytes_read	loads	evictions	guard_router_ids
0	9707	0	353	353	353	1.55026502609252930e1	1.43968038558959961e1	1.10584640502929688e0	0.00000000000000000e0	exact_match_safe	1.12500000000000000e0	0.00000000000000000e0	exact_match_safe	true	1	4919713792	7247757312	384	0	62,21,75,87,36,126,34,91,10,105,24,111,101,98,108,50,54,32,73,34,85,111,117,36
1	11	1	358	358	358	2.39294719696044922e1	2.07675933837890625e1	3.16187858581542969e0	0.00000000000000000e0	exact_match_safe	3.00000000000000000e0	0.00000000000000000e0	exact_match_safe	true	2	4919713792	6266290176	332	0	114,44,26,65,59,104,83,69,85,65,28,50,24,105,78,8,73,109,86,85,57,32,117,20
2	1879	2	0	0	0	2.23074188232421875e1	2.11810894012451172e1	1.12632942199707031e0	0.00000000000000000e0	exact_match_safe	1.25000000000000000e0	0.00000000000000000e0	exact_match_safe	true	3	4919713792	4492099584	238	44	87,105,110,91,25,54,41,21,85,127,46,112,52,65,4,28,44,15,74,127,114,14,82,21
3	0	3	1096	1096	1096	1.87391090393066406e1	1.83110103607177734e1	4.28098678588867188e-1	0.00000000000000000e0	exact_match_safe	1.25000000000000000e-1	0.00000000000000000e0	exact_match_safe	true	4	4919713792	2151677952	114	114	98,65,99,114,100,72,40,96,85,65,46,82,127,73,78,89,109,74,57,20,73,44,126,86
4	1096	4	374	374	374	2.57154731750488281e1	1.91435260772705078e1	6.57194709777832031e0	0.00000000000000000e0	exact_match_safe	6.37500000000000000e0	0.00000000000000000e0	exact_match_safe	true	5	4919713792	3189768192	169	169	50,21,34,106,2,103,75,32,65,24,85,52,46,75,97,56,120,111,36,66,47,123,112,126
5	374	5	264	264	264	2.31667404174804688e1	2.24844722747802734e1	6.82268142700195312e-1	0.00000000000000000e0	exact_match_safe	5.00000000000000000e-1	0.00000000000000000e0	exact_match_safe	true	6	4919713792	2566914048	136	136	16,104,107,53,111,114,11,71,85,52,50,98,24,28,46,89,34,32,86,117,27,126,74,90
resources	NA	dense_bytes_read=29518290944	expert_bytes_read=25914507264	total_artifact_bytes_read=55432798208	hits=931	misses=1373	loads=1373	evictions=463	peak_expert_resident_bytes=17175674880	kv_cache_bytes=1179648	modeled_peak_explicit_bytes=17277329608
