record	phase	metric	value	unit
schema	total	schema_version	1	integer
configuration	total	filesystem_cache_assumption	uncontrolled	label
configuration	total	input_token_ids	9707,11,1879,0	token_ids
correctness	total	generated_token_ids	1096,374	token_ids
correctness	total	f32_classifications	exact_match_safe,exact_match_safe	labels
timing	initialization	wall_seconds	1.51366789999999996e0	seconds
timing	prefill	wall_seconds	1.42189935099999985e2	seconds
timing	decode_1	wall_seconds	2.56554600999999991e1	seconds
timing	decode_2	wall_seconds	2.26525838999999998e1	seconds
timing	decode	average_seconds_per_token	2.41540219999999977e1	seconds_per_token
timing	prefill	tokens_per_second	2.81313863543637029e-2	tokens_per_second
timing	decode	tokens_per_second	4.14009724757226777e-2	tokens_per_second
timing	total	inference_wall_seconds	1.92011646999999982e2	seconds
io	initialization	dense_bytes_requested_read	8192	logical_bytes
io	initialization	expert_bytes_requested_read	0	logical_bytes
io	initialization	total_artifact_bytes_read	8192	logical_bytes
io	initialization	dense_read_operations	1	operations
io	initialization	expert_read_operations	0	operations
io	initialization	artifact_read_operations	1	operations
io	initialization	file_open_count	1	opens
io	initialization	unique_files_accessed	1	files
io	initialization	artifact_manifest_metadata_bytes	0	logical_bytes
io	prefill	dense_bytes_requested_read	19678855168	logical_bytes
io	prefill	expert_bytes_requested_read	20157825024	logical_bytes
io	prefill	total_artifact_bytes_read	39836680192	logical_bytes
io	prefill	dense_read_operations	4108	operations
io	prefill	expert_read_operations	1536	operations
io	prefill	artifact_read_operations	5644	operations
io	prefill	file_open_count	1536	opens
io	prefill	unique_files_accessed	49	files
io	prefill	artifact_manifest_metadata_bytes	0	logical_bytes
io	decode_1	dense_bytes_requested_read	4919713792	logical_bytes
io	decode_1	expert_bytes_requested_read	3189768192	logical_bytes
io	decode_1	total_artifact_bytes_read	8109481984	logical_bytes
io	decode_1	dense_read_operations	1027	operations
io	decode_1	expert_read_operations	384	operations
io	decode_1	artifact_read_operations	1411	operations
io	decode_1	file_open_count	384	opens
io	decode_1	unique_files_accessed	49	files
io	decode_1	artifact_manifest_metadata_bytes	0	logical_bytes
io	decode_2	dense_bytes_requested_read	4919713792	logical_bytes
io	decode_2	expert_bytes_requested_read	2566914048	logical_bytes
io	decode_2	total_artifact_bytes_read	7486627840	logical_bytes
io	decode_2	dense_read_operations	1027	operations
io	decode_2	expert_read_operations	384	operations
io	decode_2	artifact_read_operations	1411	operations
io	decode_2	file_open_count	384	opens
io	decode_2	unique_files_accessed	49	files
io	decode_2	artifact_manifest_metadata_bytes	0	logical_bytes
io	total	dense_bytes_requested_read	29518290944	logical_bytes
io	total	expert_bytes_requested_read	25914507264	logical_bytes
io	total	total_artifact_bytes_read	55432798208	logical_bytes
io	total	dense_read_operations	6163	operations
io	total	expert_read_operations	1373	operations
io	total	artifact_read_operations	7536	operations
io	total	file_open_count	1374	opens
io	total	unique_files_accessed	49	files
io	total	artifact_manifest_metadata_bytes	0	logical_bytes
io	decode_1	bytes_per_generated_token	8109481984	logical_bytes
io	decode_2	bytes_per_generated_token	7486627840	logical_bytes
io	total	end_to_end_bytes_per_generated_token	27716399104	logical_bytes
io	total	unique_dense_payload_bytes	4919762944	logical_bytes
io	total	unique_expert_payload_bytes	25140658176	logical_bytes
io	total	useful_unique_payload_bytes	30060421120	logical_bytes
io	total	repeated_dense_bytes	24598528000	logical_bytes
io	total	repeated_expert_bytes	773849088	logical_bytes
io	total	repeated_artifact_bytes	25372377088	logical_bytes
io	total	read_amplification	1.84404596285309785e0	ratio
io	total	expert_read_amplification	1.03078078078078073e0	ratio
cache	total	configured_byte_budget	17179869184	bytes
cache	total	expert_payload_bytes	18874368	bytes
cache	total	theoretical_expert_capacity	910	experts
cache	total	peak_resident_expert_count	910	experts
cache	total	expert_occurrences	2304	requests
cache	prefill	unique_layer_expert_requests	1066	keys
cache	decode_1	unique_layer_expert_requests	384	keys
cache	decode_2	unique_layer_expert_requests	384	keys
cache	total	unique_layer_expert_requests	1332	keys
cache	total	hits	931	requests
cache	total	misses	1373	requests
cache	total	loads	1373	loads
cache	total	evictions	463	evictions
cache	total	hit_rate	4.04079861111111105e-1	ratio
cache	total	repeated_requests_within_token	0	requests
cache	total	repeated_requests_across_tokens	972	requests
cache	total	reuse_distance_minimum	379	requests
cache	total	reuse_distance_median	384	requests
cache	total	reuse_distance_maximum	1924	requests
cache	total	reuse_distance_at_most_384	525	reuses
cache	total	reuse_distance_385_through_768	298	reuses
cache	total	reuse_distance_above_768	149	reuses
memory	total	modeled_explicit_tensor_bytes	17277329608	bytes
memory	total	dense_buffer_bytes	78660608	bytes
memory	total	decoded_expert_buffer_bytes	18874368	bytes
memory	total	expert_cache_resident_bytes	17175674880	bytes
memory	total	kv_cache_bytes	1179648	bytes
memory	total	inference_tensor_bytes	624128	bytes
memory	total	temporary_validation_buffer_bytes	2315976	bytes
kv_cache	total	layer_count	48	layers
kv_cache	total	configured_capacity	6	tokens
kv_cache	total	final_sequence_length	6	tokens
kv_cache	total	key_shape_per_layer	6,4,128	dimensions
kv_cache	total	value_shape_per_layer	6,4,128	dimensions
kv_cache	total	allocated_bytes	1179648	bytes
kv_cache	total	payload_allocation_count	96	allocations
kv_cache	total	allocation_growth_during_decode	false	boolean
kv_cache	total	previous_position_overwrite	false	boolean
