context_index	layer	context_id	prefix_group32_layers	group_size	artifact_bytes	expert_bytes	prompt_positions	router_ids_by_position	final_guard_exact	position_max_abs	local_max_abs	local_limit	pass_local	candidate_finite
0	24	layer24_f32_prefix	f32	32	679477248	5308416	1	10,105,24,111,101,98,108,113	true	1.16805732250213623e-2	1.16805732250213623e-2	1.00000004749745131e-3	false	true
0	24	layer24_f32_prefix	f32	16	754974720	5898240	1	10,105,24,111,101,98,108,113	true	1.32860243320465088e-2	1.32860243320465088e-2	1.00000004749745131e-3	false	true
0	24	layer24_f32_prefix	f32	8	905969664	7077888	1	10,105,24,111,101,98,108,113	true	1.51489973068237305e-2	1.51489973068237305e-2	1.00000004749745131e-3	false	true
1	24	layer24_layer0_group32_prefix	0	32	679477248	5308416	1	10,105,24,111,101,98,108,113	true	1.16818845272064209e-2	1.16818845272064209e-2	1.00000004749745131e-3	false	true
1	24	layer24_layer0_group32_prefix	0	16	754974720	5898240	1	10,105,24,111,101,98,108,113	true	1.32874548435211182e-2	1.32874548435211182e-2	1.00000004749745131e-3	false	true
1	24	layer24_layer0_group32_prefix	0	8	905969664	7077888	1	10,105,24,111,101,98,108,113	true	1.51521563529968262e-2	1.51521563529968262e-2	1.00000004749745131e-3	false	true
2	47	layer47_f32_prefix	f32	32	679477248	5308416	1	118,107,28,49,7,41,87,33	true	6.88347816467285156e-2	6.88347816467285156e-2	1.00000004749745131e-3	false	true
2	47	layer47_f32_prefix	f32	16	754974720	5898240	1	118,107,28,49,7,41,87,33	true	5.15899658203125000e-2	5.15899658203125000e-2	1.00000004749745131e-3	false	true
2	47	layer47_f32_prefix	f32	8	905969664	7077888	1	118,107,28,49,7,41,87,33	true	2.98538208007812500e-2	2.98538208007812500e-2	1.00000004749745131e-3	false	true
3	47	layer47_r2_2_failing_prefix	0,24	32	679477248	5308416	1	118,107,28,49,7,41,87,33	true	6.87491893768310547e-2	6.87491893768310547e-2	1.00000004749745131e-3	false	true
3	47	layer47_r2_2_failing_prefix	0,24	16	754974720	5898240	1	118,107,28,49,7,41,87,33	true	5.14755249023437500e-2	5.14755249023437500e-2	1.00000004749745131e-3	false	true
3	47	layer47_r2_2_failing_prefix	0,24	8	905969664	7077888	1	118,107,28,49,7,41,87,33	true	2.98271179199218750e-2	2.98271179199218750e-2	1.00000004749745131e-3	false	true
