context_index	layer	context_id	prefix_group32_layers	variant_index	variant_id	packed_projections	packed_count	modeled_expert_bytes	modeled_layer_bytes	prompt_positions	router_ids_by_position	final_guard_exact	position_max_abs	local_max_abs	local_limit	pass_local	candidate_finite	group32_control_exact
0	24	layer24_f32_prefix	f32	0	gate_up_down	gate,up,down	3	5308416	679477248	1	10,105,24,111,101,98,108,113	true	1.16805732250213623e-2	1.16805732250213623e-2	1.00000004749745131e-3	false	true	true
0	24	layer24_f32_prefix	f32	1	gate_up	gate,up	2	9830400	1258291200	1	10,105,24,111,101,98,108,113	true	1.18050277233123779e-2	1.18050277233123779e-2	1.00000004749745131e-3	false	true	true
0	24	layer24_f32_prefix	f32	2	gate_down	gate,down	2	9830400	1258291200	1	10,105,24,111,101,98,108,113	true	1.13189816474914551e-2	1.13189816474914551e-2	1.00000004749745131e-3	false	true	true
0	24	layer24_f32_prefix	f32	3	up_down	up,down	2	9830400	1258291200	1	10,105,24,111,101,98,108,113	true	1.57040357589721680e-3	1.57040357589721680e-3	1.00000004749745131e-3	false	true	true
0	24	layer24_f32_prefix	f32	4	gate	gate	1	14352384	1837105152	1	10,105,24,111,101,98,108,113	true	1.14538073539733887e-2	1.14538073539733887e-2	1.00000004749745131e-3	false	true	true
0	24	layer24_f32_prefix	f32	5	up	up	1	14352384	1837105152	1	10,105,24,111,101,98,108,113	true	1.48296356201171875e-3	1.48296356201171875e-3	1.00000004749745131e-3	false	true	true
0	24	layer24_f32_prefix	f32	6	down	down	1	14352384	1837105152	1	10,105,24,111,101,98,108,113	true	4.88247722387313843e-4	4.88247722387313843e-4	1.00000004749745131e-3	true	true	true
1	24	layer24_layer0_group32_prefix	0	0	gate_up_down	gate,up,down	3	5308416	679477248	1	10,105,24,111,101,98,108,113	true	1.16818845272064209e-2	1.16818845272064209e-2	1.00000004749745131e-3	false	true	true
1	24	layer24_layer0_group32_prefix	0	1	gate_up	gate,up	2	9830400	1258291200	1	10,105,24,111,101,98,108,113	true	1.18062198162078857e-2	1.18062198162078857e-2	1.00000004749745131e-3	false	true	true
1	24	layer24_layer0_group32_prefix	0	2	gate_down	gate,down	2	9830400	1258291200	1	10,105,24,111,101,98,108,113	true	1.13200247287750244e-2	1.13200247287750244e-2	1.00000004749745131e-3	false	true	true
