fixture	context_index	context_id	layer0_group32_prefix	group_size	hybrid_expert_bytes	hybrid_layer_bytes	prompt_positions	router_ids_by_position	final_guard_exact	position_max_abs	local_max_abs	local_limit	pass_local	candidate_finite
short_english	0	f32_prefix	false	32	14352384	1837105152	2	10,105,24,111,101,98,108,50|85,28,65,112,46,127,24,50	true	5.09273260831832886e-4,1.00767239928245544e-3	1.00767239928245544e-3	1.00000004749745131e-3	false	true
short_english	0	f32_prefix	false	16	14548992	1862270976	2	10,105,24,111,101,98,108,50|85,28,65,112,46,127,24,50	true	4.84898686408996582e-4,8.95895063877105713e-4	8.95895063877105713e-4	1.00000004749745131e-3	true	true
short_english	0	f32_prefix	false	8	14942208	1912602624	2	10,105,24,111,101,98,108,50|85,28,65,112,46,127,24,50	true	3.99685464799404144e-4,6.81728124618530273e-4	6.81728124618530273e-4	1.00000004749745131e-3	true	true
short_english	1	layer0_group32_prefix	true	32	14352384	1837105152	2	10,105,24,111,101,98,108,50|85,28,65,112,46,127,24,50	true	5.09288161993026733e-4,1.00735947489738464e-3	1.00735947489738464e-3	1.00000004749745131e-3	false	true
short_english	1	layer0_group32_prefix	true	16	14548992	1862270976	2	10,105,24,111,101,98,108,50|85,28,65,112,46,127,24,50	true	4.84932214021682739e-4,8.96083656698465347e-4	8.96083656698465347e-4	1.00000004749745131e-3	true	true
short_english	1	layer0_group32_prefix	true	8	14942208	1912602624	2	10,105,24,111,101,98,108,50|85,28,65,112,46,127,24,50	true	3.99694778025150299e-4,6.81772828102111816e-4	6.81772828102111816e-4	1.00000004749745131e-3	true	true
short_thai	0	f32_prefix	false	32	14352384	1837105152	1	10,105,24,111,101,98,108,113	true	4.88247722387313843e-4	4.88247722387313843e-4	1.00000004749745131e-3	true	true
short_thai	0	f32_prefix	false	16	14548992	1862270976	1	10,105,24,111,101,98,108,113	true	4.88717108964920044e-4	4.88717108964920044e-4	1.00000004749745131e-3	true	true
short_thai	0	f32_prefix	false	8	14942208	1912602624	1	10,105,24,111,101,98,108,113	true	4.03004698455333710e-4	4.03004698455333710e-4	1.00000004749745131e-3	true	true
short_thai	1	layer0_group32_prefix	true	32	14352384	1837105152	1	10,105,24,111,101,98,108,113	true	4.88266348838806152e-4	4.88266348838806152e-4	1.00000004749745131e-3	true	true
short_thai	1	layer0_group32_prefix	true	16	14548992	1862270976	1	10,105,24,111,101,98,108,113	true	4.88748773932456970e-4	4.88748773932456970e-4	1.00000004749745131e-3	true	true
short_thai	1	layer0_group32_prefix	true	8	14942208	1912602624	1	10,105,24,111,101,98,108,113	true	4.03032638132572174e-4	4.03032638132572174e-4	1.00000004749745131e-3	true	true
